,stock,day,open,close,high,low,volume
2141,VNINDEX,2025_07_31,1521.96,1502.52,1528.66,1488.3,41960308234000.0
2142,VNINDEX,2025_08_01,1506.88,1495.21,1509.22,1479.98,36588447976000.0
2143,VNINDEX,2025_08_04,1493.37,1528.19,1528.21,1491.11,31015352508000.0
2144,VNINDEX,2025_08_05,1547.19,1547.15,1584.98,1519.08,73123752150000.0
2145,VNINDEX,2025_08_06,1558.56,1573.71,1574.34,1547.15,37193455212000.0
2146,VNINDEX,2025_08_07,1587.84,1581.81,1588.38,1567.72,41712359443000.0
2147,VNINDEX,2025_08_08,1589.32,1584.95,1592.52,1565.45,48107971033000.0
2148,VNINDEX,2025_08_11,1590.98,1596.86,1601.79,1584.95,44503668962000.0
2149,VNINDEX,2025_08_12,1603.5,1608.22,1608.34,1591.18,43933208229000.0
2150,VNINDEX,2025_08_13,1615.57,1611.6,1618.31,1585.54,53273052556000.0
2151,VNINDEX,2025_08_14,1623.18,1640.69,1641.28,1611.6,50631454829000.0
2152,VNINDEX,2025_08_15,1665.86,1630.0,1666.54,1615.26,57419931547000.0
2153,VNINDEX,2025_08_18,1638.37,1636.37,1642.71,1625.61,42743643757000.0
2154,VNINDEX,2025_08_19,1646.73,1654.2,1665.48,1636.37,49658396501000.0
2155,VNINDEX,2025_08_20,1662.11,1664.36,1672.7,1614.6,64229654037000.0
2156,VNINDEX,2025_08_21,1674.76,1688.0,1693.68,1664.36,48750580189000.0
2157,VNINDEX,2025_08_22,1680.42,1645.47,1691.71,1629.49,60629067137000.0
2158,VNINDEX,2025_08_25,1659.7,1614.03,1661.47,1608.53,40043212957000.0
2159,VNINDEX,2025_08_26,1611.61,1667.63,1667.96,1601.65,34873704653000.0
2160,VNINDEX,2025_08_27,1678.54,1672.78,1696.6,1667.23,44462500160000.0
2161,VNINDEX,2025_08_28,1679.33,1680.86,1684.16,1659.68,32102808898000.0
2162,VNINDEX,2025_08_29,1690.11,1682.21,1694.42,1677.82,43441734431000.0
2163,VNINDEX,2025_09_03,1682.11,1681.3,1692.69,1670.39,35830038205000.0
2164,VNINDEX,2025_09_04,1687.59,1696.29,1696.29,1675.95,37478039642000.0
2165,VNINDEX,2025_09_05,1705.13,1666.97,1711.49,1665.45,47712787981000.0
2166,VNINDEX,2025_09_08,1660.91,1624.53,1667.36,1623.32,49163213045000.0
2167,VNINDEX,2025_09_09,1629.58,1637.32,1637.32,1613.01,28496156305000.0
2168,VNINDEX,2025_09_10,1646.09,1643.26,1652.68,1629.29,24554883715000.0
2169,VNINDEX,2025_09_11,1638.75,1657.75,1659.19,1605.76,34610019737000.0
2170,VNINDEX,2025_09_12,1662.02,1667.26,1675.38,1653.79,30542769283000.0
2171,VNINDEX,2025_09_15,1672.59,1684.9,1684.9,1665.61,34216811053000.0
2172,VNINDEX,2025_09_16,1696.1,1680.9,1697.26,1675.87,37675057637000.0
2173,VNINDEX,2025_09_17,1678.09,1670.97,1684.62,1662.63,29481832279000.0
2174,VNINDEX,2025_09_18,1675.85,1665.18,1679.63,1645.58,25408146596000.0
2175,VNINDEX,2025_09_19,1671.24,1658.62,1671.94,1638.44,23902353209000.0
2176,VNINDEX,2025_09_22,1656.66,1634.45,1666.43,1616.02,33475549431000.0
2177,VNINDEX,2025_09_23,1635.12,1635.26,1643.59,1624.08,18569249890000.0
2178,VNINDEX,2025_09_24,1635.36,1657.46,1657.48,1619.09,25010214882000.0
2179,VNINDEX,2025_09_25,1661.08,1666.09,1668.21,1654.47,24930539328000.0
2180,VNINDEX,2025_09_26,1666.68,1660.7,1671.43,1652.65,24808010286000.0
2181,VNINDEX,2025_09_29,1659.24,1666.48,1674.84,1639.2,23355995410000.0
2182,VNINDEX,2025_09_30,1667.86,1661.7,1676.8,1645.97,29145569406000.0
2183,VNINDEX,2025_10_01,1664.95,1665.05,1671.07,1655.85,19797120978000.0
2184,VNINDEX,2025_10_02,1668.04,1652.71,1679.73,1646.77,20818068142000.0
2185,VNINDEX,2025_10_03,1651.39,1645.82,1656.58,1637.95,23111699794000.0
2186,VNINDEX,2025_10_06,1673.16,1695.5,1695.5,1643.23,29498741314000.0
2187,VNINDEX,2025_10_07,1703.9,1685.3,1713.15,1675.4,22937826385000.0
2188,VNINDEX,2025_10_08,1701.06,1697.83,1735.29,1680.87,31284273738000.0
2189,VNINDEX,2025_10_09,1702.76,1716.47,1717.65,1697.83,31772932656000.0
2190,VNINDEX,2025_10_10,1725.27,1747.55,1747.57,1716.47,32038754855000.0
2191,VNINDEX,2025_10_13,1738.23,1765.12,1766.77,1704.63,38489206831000.0
2192,VNINDEX,2025_10_14,1782.97,1761.06,1794.58,1753.25,48886824688000.0
2193,VNINDEX,2025_10_15,1766.12,1757.95,1778.49,1747.51,35439413004000.0
2194,VNINDEX,2025_10_16,1764.51,1766.85,1768.45,1753.5,34910924516000.0
2195,VNINDEX,2025_10_17,1771.61,1731.19,1777.35,1725.12,40032933497000.0
